subjectId,randCondNum,validationRadio,subjectValidation1,expTime_min,minRespTime_sec,iwould_large,iwould_small,iexpectOther_large,iexpectOther_small,dem_gender,dem_language,val_recognized,val_familiar,val_feedback,Data_Set,HITID,val0(7510),val1(disdain),val2(jealousy),val3(AF25HAS),val4(steal),val5(pia2_D_a2_C),val6(pia2_D_a2_C),Excluded,Notes
70b17064dfd37745b0dacd0350f3e7ef99aa190f7ad1ec605fca336b,126,[7510  satisfaction  jealousy  AF25HAS  split  pia2_C_a2_C],0,15.18221667,6.983,1,0,2,-2,male,English,no,yes,n.a just really do hope to see a bonus with this survey though! ,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,split,pia2_C_a2_C,null,0,
45b7d7c6964b263cdbf3af000c589edfd0d0579203691efdea12088a,71,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,16.40491667,25.993,1,1,3,2,male,English,No,Yes  I was familiar with all of them.,No,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
488869f9a3eb6ef4cc66a7af3a1141cfcc5918913fadbf03c72f9875,57,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,20.8228,45.968,-1,1,2,-1,female,English,no,devastation,Interesting,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
349b1ee19d6e8188c123d28a412fa26483f5a1763ebd158e14b22c98,119,[7510  disdain  apprehension  AF25HAS  steal  pia2_D_a2_C],0,9.3241,21.591,0,1,-2,2,male,,no,yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,apprehension,,,,null,0,
757bef1d232ab4974e951c9b7c707557ed723922d1c250705cc66481,43,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,18.4481,36.997,0,1,-1,3,female,English,no,yes I understood them all,It was fun!,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
0afb8fde1ff63938174edb4eb86d1a3303734624853470d013981acf,143,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,22.27738333,31.941,-1,-1,-3,-3,female,English,No,Yes,This was fun,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
c0b0f859d5176787633a646d54b1bd7595fb36879a1c364c21aec22c,110,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,22.17355,45.959,0,0,-1,1,male,English,none,Yes,Very interesting  although I would have liked to know the outcome of the video in the beginning. The video was very helpful as it helped me better understand how the game worked. ,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
f9b8a01d22cf38f55753be6165486f521ae472fe285542d911ed1d97,78,[7510  disdain  NR  AF25HAS  split  pia2_C_a2_D],0,19.19675,44.397,1,-1,2,-3,female,English,no,yes,Thank you,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,NR,,split,pia2_C_a2_D,null,0,
e89dbe27d231fce8f01cb3ad56ce311a777eb6eaf5023743faf61519,141,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,21.79601667,28.541,1,-1,1,-2,female,English,no,I understood all of them.,That was kind of fun.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
12ca21587d5707bfdbc8b03641769a0bfbed206235a205b4009d02c3,155,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,24.63783333,24.969,1,1,3,-3,male,english,no,yes I understood them all,thanks,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
5f14739c93d7ebf652154e14ac8b22942c5c5f7eb7c2ba8225b36ecb,131,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,11.97535,24.956,0,-1,2,-3,male,English,No,Yes,No,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
6b0f360c8cdb2af5359ca5380d74beb368e64a02e76e48d6fa4c9075,123,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,13.51588333,27.404,-1,-1,-1,-2,female,English,no recognition,I was familiar with all of them.,very interesting task.  I enjoyed participating.  pay rate was reasonable for amount of time/work required here.  thanks!,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
597c6c6d3c3a90208ae3348a265df793c4ecce0149fee9ba19994a2c,41,[7510  satisfaction  jealousy  AF25HAS  split  pia2_D_a2_C],0,20.10658333,25.722,1,1,3,3,male,english,no,yes,no,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,split,,null,0,
28625751b5be5bdc1c54f2ded210ecc54ca288713b40286d48201eef,36,[7510  disdain  jealousy  NR  steal  pia2_D_a2_C],0,19.76293333,43.175,0,1,2,3,female,English,no,I understood.,No  sorry for the timing. I had to restart the hit as it stopped working on Safari and switched to Chrome. I loved the Hit. Very interesting! Thank you!,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,NR,,,null,0,
5b8f03b7cc3a8c8aeff78c90004005dad225c22fcf430e25e318a216,2,[7510  satisfaction  jealousy  AF25HAS  split  pia2_C_a2_C],0,14.07773333,16.802,-1,1,-1,3,male,ENGLISH,REALITY GAME SHOW,YES ,GOOD AND INTERESTING ONE,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,split,pia2_C_a2_C,null,0,
df3adc90032d9bf08f79896c413dab799237642d1a6536cca2429529,146,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,30.6721,29.96,-1,-1,-3,-3,male,english,no,disgust(I know it in the sense that avocados are disgusting). Respect is 2nd  I know how to define it  but now what it looks like. ,I didn-t believe the show was real until about 10 minutes in. what the fuck is wrong with society that we would create and popularize this show? Excellent task though  simple directions and smooth progress. Love the dark theme too  black background/white text always beats the inverse.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
2ad845e68dd90db6a82a398ac573a4923edf2f1b9e5283e5d92bb367,108,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,30.85691667,51.12,0,1,1,2,male,english,no,yes,no,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
bf080c5cb148ec5828440cb1e442166c4eae8cf3c6ba33e7a8797c85,70,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,33.09605,50.094,-1,1,-2,1,male,English,No,I understood them all,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
961d9d18eaa741cdd90fffbba1df0ae67fe8b0d99ae94ea24f3a4757,38,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,25.42253333,35.329,0,-1,2,-2,male,English,none,I believe I was confused on contempt I couldn-t quite remember exactly what it was until the question at the end. ,I might have messed up the first 1/8 I believe on the judgement as I got acquainted with the interface. maybe a picture showing that layout before they start would help workers understand a little better,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
55a072476d19d0b19def767dea3850e1021c8b95150a1d1e82c6cb72,63,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,17.25431667,31.799,-1,-1,-1,1,female,English,I didn-t recognize anything about this game show or the people/photos from this hit.,I am very familiar with all of these emotion labels.I don-t feel that any of them I-m not very familiar with. If I had to choose one  I assume that contempt would be the one that-s not seen or thought about as often as the others.,Thank you so much! This survey was actually really fun! ,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
ebfb4d53b85c134fff3aa46aa818dfcf8677b12480c3cc933e822477,112,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,19.34041667,34.258,-1,-1,1,1,female,ENGISH,NO,YES,NONE,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
d6e659e4913ab671c04b7243ed12f48c67586c4e051589c1231d2296,157,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_D_a2_C],0,39.69413333,37.885,-1,-1,-3,-3,male,English,No,Fury,Very Good Study.. Thanks,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,,,null,0,
93cda0c2647f0a51b7544ee4f2e6f987045628c3dc3fed427c14881e,10,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,15.7429,21.32,-1,-1,1,2,male,English,Never seen any of them.,They labels were all familiar.,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
4221fdf5bf765016f08ad21a9eefc20d6f14e77704bc7cde44c1de4f,116,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,16.71581667,22.65,1,-1,1,-2,,English,No,Yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
f185fcb9524600948f7496205ea30886981fc37122e1222f64cdc9dd,56,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,10.94231667,22.945,0,0,2,-1,male,English.,No.,I understood all of the emotion-s labels. None of them were particularly difficult.,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
9fe456241511843bf3f6996d58b50b54565531d81a20c92b7bf91b91,21,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,23.11085,28.298,-1,-1,-2,-2,male,English,no,yes  i was familiar with all of the emotions,fun survey  hope to see more,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
a3a13f950c028b5543d80bd2849bf59a9fc8ae41d1d1cd6c3b6921a3,128,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,12.57393333,32.385,-1,-1,-1,-2,male,English,No,Yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
3f90bcb5ad7a7f0efd4b21fa9507b533f65f253f9c5d2bf13ce6fc7b,46,[7510  disdain  jealousy  AF25HAS  split  pia2_C_a2_C],0,16.4752,33.065,0,1,-2,2,male,English,No,Understood all emotion labels. Least familiar was with contempt,n/a,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,split,pia2_C_a2_C,null,0,
17f42b255b67d447fa9dbd88b24a6f9eb6aad36940106fb03e536dad,49,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,56.66793333,27.715,-1,-1,-2,-3,male,,no,Yes. Contempt.Envy.,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
95772273875842b82ac2889b5dd1c4f36a8e7d81bd0e2115e7c92275,125,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_D_a2_C],0,13.04075,24.911,-1,1,-1,1,male,english,no,I feel like I recognized all of these emotions,Great HIT!  Thank you.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,,,null,0,
95b397af4fcbdf714cfb21f507004164a2727034913701bd2e20d48a,104,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,61.33923333,48.868,-1,-1,-3,-3,female,English,no,yes,no  thanks,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
0d45584b18a793896e273474442ce5496c09782bd5ad7ecceab7c927,35,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,26.55541667,23.14,-1,-1,1,-2,female,English,No,Yes. I am familiar with all of those emotions.,No,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
cf338ece95bfffc44501e1bdb0d8fa3af1540a705f07a75fa28ab359,100,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,31.5515,27.182,1,-1,-2,-3,male,English,nope,Yes I do  I wasn-t unfamiliar with any,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
a40b607936ebe9e15e15d35a73c0ce73f627b41b0dbb7c1ce66ac68d,157,[7510  NR  jealousy  AF25HAS  steal  pia2_C_a2_C],0,19.0323,47.608,-1,-1,-2,2,,English,No,Yes Contempt,No,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,NR,,,,pia2_C_a2_C,null,0,
426b168a63230f3f982d44f3d94af7b006f522ad150901a2d680f4b9,151,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_C_a2_C],0,9.52795,20.154,-1,-1,-3,-3,male,english,no,yes,none,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,,pia2_C_a2_C,null,0,
b359bdaf7d95d2ede4ac8db61dddea874aa875cb9a2be1349c92c52c,93,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,33.01275,72.131,1,1,3,-1,female,English,no,yes,no,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
9c632e2db843a212c03eb070d30b92724ca7142d85e5a104a28cedbb,9,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,22.3559,19.964,1,-1,-2,-3,male,English,no,I was familiar with all of them. I can-t really think of one i was least familiar with.,No,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
338b7be3a3b187bab8911087fb852f4cf2087dda960104a550faaccf,58,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,16.24866667,35.476,1,1,-1,-1,male,English,Nope.,I understood them all.,Nope.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
bbace34fa5e71563ce3d17493d0c3e06b92f63503e35dc9bd69aa12a,145,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,42.1262,20.696,-1,0,-2,2,female,English,No,I understood them all  there were none I was not familiar with.,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
4dbda2d3bba9c0710eb212ff9fd99137fc3966bf516b29de08a245c2,59,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,14.6659,41.403,0,1,1,3,female,english,no,yes,no,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
62797d0c5f17e9239b101e0ff2595456ac93878112a003758b198e69,84,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,12.13835,24.966,-1,-1,-1,-2,male,English,no,yes,n/a,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
61cd9b3fa6bfa79fabcd359eb866f59748dc48fa454e8420d1d6c229,2,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,15.1639,33.411,0,-1,3,-2,female,English,no,I understood them all,loved it.  It was very enjoyable,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
e23e2035b8823e5681574085c1277a82716928975455505d3ce48b26,83,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,10.3805,21.325,-1,1,-2,3,female,english,no,yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
65cd8d6a63dd18cc18a9575c5b7d04a166ae86ed5cb93d3704ec5834,44,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,17.08626667,34.824,-1,0,-1,1,female,English,no,yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
ad8f574f0d62d9a67de4eddef6d46e54c8e484586df81f056780b724,38,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,22.04505,26.431,0,-1,1,2,female,English,I haven-t seen any of them before.,I am familiar with all of them  but use \fury\ and \devastation\ the least. I know what they all mean though.,This was fun. I wanted to see the outcome of that first clip though!,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
7aafe974274f578895cd1da42b646628b3d59df65872abe6d0e32733,156,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,22.67396667,37.74,1,-1,2,-1,female,english,No,i understood them all,i would allow people to go back and re read instructions.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
9e5aa0ac637cc0e864e801de140d99614bb4c016a24d9372d779ad1e,102,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,20.90423333,28.304,-1,-1,-2,-2,,english,no,yes,none,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
c5e5625835b50fc829a14bd4bcb6de4512a6014dd2f0533b7e612792,117,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,22.08536667,44.001,-1,1,-1,-2,female,English,No,Yes  I understood and am very familiar with all.,Thank you,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,,null,0,
8020fdb762a946c5d1ad2dd7da26ff66529c9db6a358f6dddb151f97,136,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,29.49501667,44.679,-1,1,-1,3,female,English.,I am not familiar with the game show  first time seeing or hearing of it.,I understood the emotion labels.,Very interesting  and entertaining hit.,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
79affcd46e1992309635a5bc7eef9ededb06b92de3f8f93aecb6ea47,21,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,25.72098333,38.37,0,-1,1,1,female,English,no,yes,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
5e3d6b072501a548c66790a3df3ed74d697f412cbe53f423fb55bb63,104,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_C_a2_D],0,11.53546667,23.254,1,-1,2,-2,male,English,No,I understood them all equally  the least i guess is fury,,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,satisfaction,,,,pia2_C_a2_D,null,0,
1a282f3e6f9baed2a6b835cf1726c4b783d66702330adeb51ed485cf,80,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,10.76571667,27.737,1,1,1,1,male,English,none,I understood them all.,none,10.2,3DIIW4IV8QVZD8HCF1THEV09QA94I2,,,,,,pia2_C_a2_C,null,0,
6908009d7f966e047f0c88cd118413c0443bb8b464c2f81f72d466d1,15,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,11.46036667,18.484,-1,0,-1,1,male,English,None,Familiar with all,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,pia2_C_a2_C,null,0,
752ed5c01492fa41df22977373cfde00fb7c45657a7f179e48f6e4a6,137,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,12.44111667,28.144,-1,-1,-2,-1,male,english,no,yes,cool beans ,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,pia2_C_a2_C,null,0,
32750655d353cfc9ca933aa6daba44ad265786191f899b6556dc9769,87,[7510  disdain  respect  AF25HAS  steal  pia2_C_a2_D],0,7.56835,16.601,1,1,3,3,male,,none,Envy,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,respect,,,pia2_C_a2_D,null,0,
b7ca8d3bce135df5ce7c355efc85e1e2a29436fe326e31412ceffba1,152,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,13.38803333,40.727,-1,-1,-2,1,male,English,no,Contempt,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
88654eb01ddc2b7b10818d12985b2e3c99b1e56bef4a1fcf5156abee,121,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,13.66926667,28.766,1,1,3,3,female,English,no,I was familiar with all,Fun and interesting hit  a refreshing break from other hits,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,pia2_C_a2_C,null,0,
5cd44223aa2f9fba0eb1adef574d1ab0fda7d7ddb84fbf20b7532364,108,[7510  boredom  jealousy  AF25HAS  split  pia2_C_a2_D],0,12.988,18.552,-1,1,1,1,male,english,,yes,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,boredom,,,split,pia2_C_a2_D,null,0,
ae2a06a95bb5df20df629f39b0d9bbb7958d24c6b11749b4c8f8cc81,89,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,15.52641667,18.994,1,-1,-1,-2,male,English,Np,Yes,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
565474f5489e316cd87b6a961c45e17a8d165f2badca15e673b2174f,127,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,17.8392,37.142,-1,1,1,3,female,English,None,Yes I did,Fun survey!,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,pia2_C_a2_C,null,0,
8bcdae84ad50263d167e1031fe1050a4827df0541446b475ee5419b2,29,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,16.52071667,29.602,0,-1,2,-1,male,English,No,Understood everything,None,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
e276bc19c7bcd67fee47469afb941d4c85da7c471e8513d130eee7af,5,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_D_a2_C],0,20.67755,34.431,0,-1,2,1,female,English,No,I was familiar with all of them,No other feedback,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,satisfaction,,,,,null,0,
8c18a807dd8fc2ee4a910c37f590d20dabee7ee5628584875801fcf9,59,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,20.2817,43.639,-1,0,-2,-2,male,English,no,I am familiar with all of them.,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
a1e178944cb680e711389753ca921eb198496a84c6388cb3d683aead,98,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C],0,21.9712,47.172,0,0,-2,-1,male,English,no,yes    I think I might be least familiar with envy,none,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,pia2_C_a2_C,null,0,
a21b7849ff62492dc6f083743ee35db1f99e9e831d67a31b020cc5c0,146,[7510  disdain  jealousy  AF25HAS  split  pia2_C_a2_C],0,19.56646667,32.728,-1,-1,-2,-2,male,english,no,yes,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,split,pia2_C_a2_C,null,0,
ea9ea4fedc11326f7ae0ca9dbaf2d16badd5e72fba22314af3ef7e7e,134,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,15.57588333,32.093,-1,-1,-2,-2,female,,no,i guess -disgust- kind of confused me. I read it as disgust for ones self when they lie and steal from the other. but im not sure. ,,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
44a453e98a5ea145f38ea9c352324de7a4526f75f663aebae2a09f77,72,[7510  disdain  ire  AF25HAS  steal  pia2_C_a2_C],0,23.76223333,47.258,-1,-1,-2,-2,female,English,no,I was familiar with all of them,Fun and enjoyable HIT!,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,ire,,,pia2_C_a2_C,null,0,
01344b7507b79167dca906b911d164558baa25c4081922dc1fe647d5,22,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,25.6213,28.015,-1,-1,1,2,male,english,no,I did,was interesting thanks for the opportunity,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
02e0b42575152f9859165def73a55c7ad6e5b110e21358a93245f61f,111,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C],1,16.36395,39.599,0,1,1,2,female,english,no,yes,no,10.3,3DA79LNS5AV44QEJ9ZN2IXACNRV3TZ,,,,,,,null,0,
